episode number, steps in evaluation, accumulated reward, done 
0, 200, -377.27493045793227, 1
1, 200, -828.39589043864, 1
2, 200, -854.7588681472619, 1
3, 200, -1176.9664286875366, 1
4, 200, -1243.6808004563884, 1
5, 200, -1596.7255423832003, 1
6, 200, -1592.7203442135774, 1
7, 200, -1611.1505269122356, 1
8, 200, -1586.9969873120078, 1
9, 200, -1586.9983158639113, 1
10, 200, -1610.0512782137387, 1
11, 200, -1593.9005435204324, 1
12, 200, -1661.6055764068221, 1
13, 200, -1712.3719799614857, 1
14, 200, -1556.4204360426327, 1
15, 200, -1290.180631088026, 1
16, 200, -1614.2417105132226, 1
17, 200, -1483.2876627428404, 1
18, 200, -1374.7384062409499, 1
19, 200, -1311.0941326761574, 1
20, 200, -1341.4537597892415, 1
21, 200, -1302.55312871855, 1
22, 200, -1301.2005788895056, 1
23, 200, -1276.1951953091332, 1
24, 200, -1286.1498985047651, 1
25, 200, -1297.9975459399589, 1
26, 200, -1285.738896546148, 1
27, 200, -1291.8140766496977, 1
28, 200, -1285.9731794306745, 1
29, 200, -1268.0772222629598, 1
30, 200, -1250.4625696916817, 1
31, 200, -1247.875440222404, 1
32, 200, -1229.8700690769363, 1
33, 200, -1245.5904916607965, 1
34, 200, -1235.8577574705816, 1
35, 200, -1268.6870884402767, 1
36, 200, -1371.195786390736, 1
37, 200, -1362.0469347433575, 1
38, 200, -1373.131919123935, 1
39, 200, -1378.014184922149, 1
40, 200, -1411.1899814180529, 1
41, 200, -1367.8201413636125, 1
42, 200, -1344.7195705760694, 1
43, 200, -1164.558312892763, 1
44, 200, -1151.9155852824326, 1
45, 200, -1020.2340367518855, 1
46, 200, -1048.6986824066478, 1
47, 200, -1037.3054802566141, 1
48, 200, -1051.470541888787, 1
49, 200, -1044.0518905740432, 1
50, 200, -1024.7306711254807, 1
51, 200, -971.2834272316506, 1
52, 200, -978.3296173441976, 1
53, 200, -961.6221722254116, 1
54, 200, -996.224421834682, 1
55, 200, -979.9299181062381, 1
56, 200, -947.6903190815631, 1
57, 200, -925.1662842042872, 1
58, 200, -894.8904881536486, 1
59, 200, -832.0451403851317, 1
60, 200, -777.7553714945053, 1
61, 200, -771.7866003431807, 1
62, 200, -451.0625363488653, 1
63, 200, -255.23794270214856, 1
64, 200, -402.6830687562803, 1
65, 200, -520.1749306223952, 1
66, 200, -1249.1524597646685, 1
67, 200, -1305.155798489792, 1
68, 200, -1101.9819221360958, 1
69, 200, -831.9034079140164, 1
70, 200, -411.516200419742, 1
71, 200, -0.5838554566254308, 1
72, 200, -18.051523569206744, 1
73, 200, -0.6816492138545386, 1
74, 200, -642.3874829480318, 1
75, 200, -405.7423525555064, 1
76, 200, -607.8682506194372, 1
77, 200, -385.5342847229626, 1
78, 200, -519.79846278307, 1
79, 200, -29.020695933697834, 1
80, 200, -142.74097167902167, 1
81, 200, -386.79476664787234, 1
82, 200, -261.20164871262364, 1
83, 200, -5.676503505924072, 1
84, 200, -517.768841972737, 1
