episode number, steps in evaluation, accumulated reward, done 
0, 200, -377.27493045793227, 1
1, 200, -894.8589998971657, 1
2, 200, -1534.7491030045287, 1
3, 200, -1538.9631378786771, 1
4, 200, -1561.9295648209757, 1
5, 200, -1495.3030966211631, 1
6, 200, -1322.2161715358905, 1
7, 200, -1235.212339691005, 1
8, 200, -1449.8640957673738, 1
9, 200, -1540.5714716719017, 1
10, 200, -1586.1325058197515, 1
11, 200, -1459.5805133612598, 1
12, 200, -1334.5354181403775, 1
13, 200, -1313.0025491047427, 1
14, 200, -1338.0873986862764, 1
15, 200, -1373.0580044269213, 1
16, 200, -1324.959258419244, 1
17, 200, -1192.1812177200547, 1
18, 200, -1340.218806801024, 1
19, 200, -1326.7020887493609, 1
20, 200, -1133.1571855269156, 1
21, 200, -1371.565618390577, 1
22, 200, -1284.5001010362946, 1
23, 200, -1319.7032693841848, 1
24, 200, -1356.3286333411659, 1
25, 200, -1363.3883309050043, 1
26, 200, -1329.2340275831043, 1
27, 200, -1365.9647171174402, 1
28, 200, -1360.6860929634302, 1
29, 200, -1291.578409138931, 1
30, 200, -1303.3253841907099, 1
31, 200, -1266.171581538465, 1
32, 200, -1325.6140482037802, 1
33, 200, -1227.087946332468, 1
34, 200, -1129.9425305860996, 1
35, 200, -1157.9166364064151, 1
36, 200, -1121.5176167639067, 1
37, 200, -1046.9720558336041, 1
38, 200, -1203.0220785869687, 1
39, 200, -1171.0500568543596, 1
40, 200, -1212.3634595575184, 1
41, 200, -1179.2188621670573, 1
42, 200, -1220.0079089173214, 1
43, 200, -1155.5234445714714, 1
44, 200, -1214.0409053167193, 1
45, 200, -1191.3219202500297, 1
46, 200, -1079.1784359398298, 1
47, 200, -1073.1403739038599, 1
48, 200, -1091.3690211789194, 1
49, 200, -1031.767889795833, 1
50, 200, -1034.603488345855, 1
51, 200, -944.1313466136882, 1
52, 200, -798.3219204612174, 1
53, 200, -878.1203685789047, 1
54, 200, -1023.9364465674448, 1
55, 200, -958.7384917206605, 1
56, 200, -1058.2480593074806, 1
57, 200, -1062.2281734892986, 1
58, 200, -1064.082775647067, 1
59, 200, -1101.823377273617, 1
60, 200, -1145.3541175926923, 1
61, 200, -1147.1847574652422, 1
62, 200, -1158.0465327469944, 1
63, 200, -1196.6008700605091, 1
64, 200, -1164.7143791855474, 1
65, 200, -1158.1644018211807, 1
66, 200, -1204.9304994960905, 1
67, 200, -1164.2251626879297, 1
68, 200, -1163.739236427531, 1
69, 200, -1163.0837667320172, 1
70, 200, -1182.562962736597, 1
71, 200, -1156.4592505295982, 1
72, 200, -1178.2862877764564, 1
73, 200, -1187.8959900335708, 1
74, 200, -1187.366602070762, 1
75, 200, -1167.527231196469, 1
76, 200, -1156.1335910274413, 1
77, 200, -1200.5308551965466, 1
78, 200, -1145.3983133534541, 1
79, 200, -1169.1369241250986, 1
80, 200, -1132.8988071977976, 1
81, 200, -1039.3110691740337, 1
82, 200, -1132.4534592073544, 1
83, 200, -1164.0735948450128, 1
84, 200, -1176.4053370987674, 1
85, 200, -1101.7050123540052, 1
86, 200, -1095.137553669479, 1
87, 200, -988.6666776175559, 1
88, 200, -1053.833716628062, 1
89, 200, -1046.6553623204722, 1
90, 200, -1014.3892107503965, 1
91, 200, -1069.7105382634131, 1
92, 200, -1060.2524561126247, 1
93, 200, -1045.956457289287, 1
94, 200, -1067.2399392683205, 1
95, 200, -1028.5592744081544, 1
96, 200, -1073.7103132986833, 1
97, 200, -1017.5727389829074, 1
98, 200, -1014.1040883736322, 1
99, 200, -1003.3316607755227, 1
100, 200, -1085.4285758883473, 1
101, 200, -1089.228161324807, 1
102, 200, -1134.1106524689815, 1
103, 200, -1084.1925566776333, 1
104, 200, -1070.051004150657, 1
105, 200, -944.5332771495199, 1
106, 200, -926.7460242146336, 1
107, 200, -933.4778630671303, 1
108, 200, -941.3595999413598, 1
109, 200, -890.37123636496, 1
110, 200, -883.6399956734912, 1
111, 200, -895.4011571962078, 1
112, 200, -851.4964598015283, 1
113, 200, -784.1333297649813, 1
114, 200, -782.3495939962534, 1
115, 200, -903.7203293083611, 1
116, 200, -904.3272646708868, 1
117, 200, -908.0357026670343, 1
118, 200, -840.2003708083766, 1
119, 200, -911.2410052069869, 1
120, 200, -918.9566976910156, 1
121, 200, -912.939570145079, 1
122, 200, -941.822302203938, 1
123, 200, -938.5585703025968, 1
124, 200, -905.4446167859569, 1
125, 200, -916.7705146308333, 1
126, 200, -891.0944095789979, 1
127, 200, -890.7182629835116, 1
128, 200, -971.2045190620755, 1
129, 200, -821.3374957232237, 1
130, 200, -4.374777800869505, 1
131, 200, -0.8358096454844476, 1
132, 200, -0.07324166072883416, 1
133, 200, -0.20035373477736448, 1
134, 200, -0.06131632759149785, 1
135, 200, -0.011924639836370748, 1
136, 200, -0.13265835378328966, 1
137, 200, -0.09348686225788141, 1
138, 200, -0.7223190373851879, 1
139, 200, -2.2488404470636447, 1
140, 200, -9.545159644725038, 1
141, 200, -275.62013134768705, 1
142, 200, -325.1986172183835, 1
143, 200, -536.5927677555029, 1
144, 200, -274.50779384643374, 1
145, 200, -275.9042576830531, 1
146, 200, -276.1781811061794, 1
147, 200, -357.98895080342294, 1
148, 200, -364.49271374504707, 1
149, 200, -401.93815623709804, 1
150, 200, -391.251077726068, 1
151, 200, -276.5512593547854, 1
152, 200, -401.236675897586, 1
153, 200, -398.4016174723883, 1
154, 200, -401.7016216472045, 1
155, 200, -401.23479434881864, 1
156, 200, -400.23133689677445, 1
157, 200, -400.8967405775268, 1
158, 200, -379.77987741349295, 1
159, 200, -398.79022168609606, 1
160, 200, -287.4045597388256, 1
161, 200, -400.84452276421996, 1
162, 200, -278.87559630448743, 1
163, 200, -402.4897882087524, 1
164, 200, -400.20432096530055, 1
165, 200, -363.4031320570646, 1
166, 200, -400.3360391923054, 1
167, 200, -400.40223951815307, 1
168, 200, -386.1554214309045, 1
169, 200, -398.9791755719017, 1
170, 200, -380.25772685459486, 1
171, 200, -267.68234177956595, 1
172, 200, -267.01257124946994, 1
173, 200, -0.13285052566910993, 1
174, 200, -399.06116027991993, 1
175, 200, -531.427874260195, 1
176, 200, -526.1161080841541, 1
177, 200, -557.7955872457892, 1
178, 200, -536.8200405125548, 1
179, 200, -538.4307218755172, 1
180, 200, -539.6930395049964, 1
181, 200, -540.2431050445614, 1
182, 200, -543.903449853648, 1
183, 200, -658.8007745619982, 1
184, 200, -542.6549080701292, 1
185, 200, -539.9328517988926, 1
186, 200, -540.733846954785, 1
187, 200, -539.9114511627176, 1
188, 200, -532.2043961067137, 1
189, 200, -542.6432331177921, 1
190, 200, -565.4117985662507, 1
191, 200, -542.8689873018811, 1
192, 200, -553.7881071870603, 1
193, 200, -665.3986835601825, 1
194, 200, -672.2246889071286, 1
195, 200, -586.9865216247266, 1
196, 200, -661.5153040233373, 1
197, 200, -677.197170076433, 1
198, 200, -657.5784265193228, 1
199, 200, -670.4268465408959, 1
200, 200, -553.789668881089, 1
201, 200, -546.6778961940327, 1
202, 200, -662.9753442510515, 1
203, 200, -671.6742101839092, 1
204, 200, -796.6760881057345, 1
205, 200, -699.1789795102559, 1
206, 200, -726.7758486846774, 1
207, 200, -826.6835627311475, 1
208, 200, -797.1459322174575, 1
209, 200, -783.6223750212059, 1
210, 200, -722.3459423777881, 1
211, 200, -819.4060153346625, 1
212, 200, -796.3718787781881, 1
213, 200, -929.6111647506056, 1
214, 200, -791.1746312881086, 1
215, 200, -770.8570800877216, 1
216, 200, -661.3844725857115, 1
217, 200, -660.8271212919094, 1
218, 200, -664.8375285193957, 1
219, 200, -668.8589872452427, 1
220, 200, -673.4350581876718, 1
221, 200, -633.5781904883917, 1
222, 200, -646.7924990076152, 1
223, 200, -529.804183094469, 1
224, 200, -530.70821516178, 1
225, 200, -530.8892799778054, 1
226, 200, -528.5677747365088, 1
227, 200, -402.91761362504946, 1
228, 200, -472.45260468959816, 1
229, 200, -525.616803250328, 1
230, 200, -518.2718415115845, 1
231, 200, -525.974600567006, 1
232, 200, -407.5840556520121, 1
233, 200, -526.3919230460772, 1
234, 200, -407.44861726861257, 1
235, 200, -528.8094813893518, 1
236, 200, -402.4790942205167, 1
237, 200, -407.90627846473683, 1
238, 200, -529.8655294938064, 1
239, 200, -527.3721586255266, 1
240, 200, -400.8822729567374, 1
241, 200, -283.16720105972695, 1
242, 200, -275.81558030945416, 1
243, 200, -16.409242590620384, 1
244, 200, -19.062216395828155, 1
245, 200, -17.483455754935786, 1
246, 200, -20.56855169902043, 1
247, 200, -19.766832222225304, 1
248, 200, -17.451814748175263, 1
249, 200, -13.464378127758112, 1
250, 200, -9.917431849749446, 1
251, 200, -7.4695111754177885, 1
252, 200, -8.381740910198436, 1
253, 200, -4.030308698706727, 1
254, 200, -4.187875218375871, 1
255, 200, -10.53123948335383, 1
256, 200, -14.622507800240797, 1
257, 200, -21.446878311002123, 1
258, 200, -15.41724051470603, 1
259, 200, -15.070298227651572, 1
260, 200, -14.803417701033505, 1
261, 200, -11.040395765594221, 1
262, 200, -17.879520214634557, 1
263, 200, -19.202527338541806, 1
264, 200, -149.6494406838121, 1
265, 200, -274.15403534385587, 1
266, 200, -398.83687325558594, 1
267, 200, -399.7761582074045, 1
268, 200, -454.71052629189563, 1
269, 200, -521.2377086565004, 1
270, 200, -398.84325534475886, 1
271, 200, -396.8830811416295, 1
272, 200, -398.9981369637441, 1
273, 200, -397.60700951616536, 1
274, 200, -401.5251763895647, 1
275, 200, -518.594192474172, 1
276, 200, -522.7855713619919, 1
277, 200, -523.2275403865642, 1
278, 200, -521.5379526134864, 1
279, 200, -436.1500586111497, 1
280, 200, -523.2474456879016, 1
281, 200, -521.7187347105917, 1
282, 200, -521.0432477422298, 1
283, 200, -520.6451277905053, 1
284, 200, -520.2623102649106, 1
285, 200, -520.298550352149, 1
286, 200, -521.5626119461712, 1
287, 200, -520.7082618384072, 1
288, 200, -519.670819862133, 1
289, 200, -520.5292053883798, 1
290, 200, -516.7297302409005, 1
291, 200, -516.2100837878785, 1
292, 200, -518.054669234965, 1
293, 200, -411.229814520026, 1
294, 200, -508.83241834489024, 1
295, 200, -519.8983834986202, 1
296, 200, -519.014922626884, 1
297, 200, -518.7486286125333, 1
298, 200, -518.6956475042875, 1
299, 200, -510.6176636585163, 1
300, 200, -496.12101849477796, 1
301, 200, -518.9859271079364, 1
302, 200, -519.037940683773, 1
303, 200, -520.4783816442288, 1
304, 200, -520.235449494338, 1
305, 200, -518.6070740382271, 1
306, 200, -517.9717497440735, 1
307, 200, -445.47472470234106, 1
308, 200, -508.1927351249932, 1
309, 200, -431.82549331180064, 1
310, 200, -515.6706640986213, 1
311, 200, -519.1839872923126, 1
312, 200, -509.2805193391191, 1
313, 200, -517.2603116368829, 1
314, 200, -509.9380048364701, 1
315, 200, -506.8948687875861, 1
316, 200, -519.2831291504078, 1
317, 200, -506.87208072269925, 1
318, 200, -481.0016973295858, 1
319, 200, -516.8284769886317, 1
320, 200, -502.17555069793974, 1
321, 200, -404.3096892418022, 1
322, 200, -503.57274475784476, 1
323, 200, -517.7993757096463, 1
324, 200, -515.6094348381258, 1
325, 200, -490.1577818138809, 1
326, 200, -515.3059823794046, 1
327, 200, -444.8093299908459, 1
328, 200, -400.2028534245032, 1
329, 200, -412.15862614065696, 1
