episode number, steps in evaluation, accumulated reward, done 
0, 200, -377.32887351629813, 1
5, 200, -23990.625146167255, 1
10, 200, -27797.169932519137, 1
15, 200, -28656.8031473221, 1
20, 200, -28654.518874104313, 1
25, 200, -28303.622030119383, 1
30, 200, -28460.03562262118, 1
35, 200, -28387.787974422044, 1
40, 200, -27562.909844022342, 1
45, 200, -25093.55417158274, 1
50, 200, -26284.92305195118, 1
55, 200, -22574.978886904344, 1
60, 200, -923.9008228146043, 1
65, 200, -0.16460423019264772, 1
70, 200, -1.3721439075059645, 1
75, 200, -14.697006663325237, 1
80, 200, -15913.066934544207, 1
85, 200, -18983.433961641877, 1
90, 200, -21565.821724273046, 1
95, 200, -19622.801758583035, 1
100, 200, -19335.553514651805, 1
105, 200, -19737.459720281284, 1
110, 200, -17923.124981079287, 1
115, 200, -9016.708024937125, 1
120, 200, -19069.97891976724, 1
125, 200, -18371.83721452522, 1
130, 200, -20221.97588435722, 1
135, 200, -19370.06729170504, 1
140, 200, -1397.7167463325977, 1
145, 200, -1200.354928026202, 1
150, 200, -1219.1348346893608, 1
155, 200, -1386.5965375897426, 1
160, 200, -1303.6782250512733, 1
165, 200, -1280.905339134816, 1
170, 200, -1273.9418819326438, 1
175, 200, -1223.0255761737935, 1
180, 200, -1230.2069566692355, 1
185, 200, -1289.351560282952, 1
190, 200, -1266.8058787341986, 1
195, 200, -1290.260088384663, 1
200, 200, -1286.4270570399353, 1
205, 200, -1272.6544052391644, 1
210, 200, -1259.738775312777, 1
215, 200, -1257.685875942933, 1
220, 200, -1305.63117686608, 1
225, 200, -1283.4520629796564, 1
230, 200, -1312.7627595827869, 1
235, 200, -1295.065501908453, 1
240, 200, -1280.824741818137, 1
245, 200, -1273.6042808383881, 1
250, 200, -1291.9105138127406, 1
255, 200, -1325.2755156521403, 1
260, 200, -1295.2320687927224, 1
265, 200, -1266.6207857226013, 1
270, 200, -1256.5622128957502, 1
275, 200, -1307.8815303317785, 1
280, 200, -1279.8534794636403, 1
285, 200, -1312.0834868550573, 1
290, 200, -1337.3795491739136, 1
295, 200, -1328.273411342109, 1
300, 200, -1333.1494750591555, 1
305, 200, -1323.7247979776143, 1
310, 200, -1346.1980126810067, 1
315, 200, -1329.17155717713, 1
320, 200, -1304.8343714237972, 1
325, 200, -1299.0772730039569, 1
330, 200, -1312.6656090039942, 1
335, 200, -1317.158109643553, 1
340, 200, -1240.4357065544934, 1
345, 200, -1189.3839376020549, 1
350, 200, -1143.5393632727616, 1
355, 200, -1081.5587085886332, 1
360, 200, -1030.4468193946957, 1
365, 200, -955.7031484013684, 1
370, 200, -882.0449396437114, 1
375, 200, -656.2135520410341, 1
380, 200, -716.1954896686042, 1
385, 200, -718.2875390827975, 1
390, 200, -531.908937261275, 1
395, 200, -254.62917696392776, 1
400, 200, -257.530216968608, 1
405, 200, -256.1006094527802, 1
410, 200, -487.53552928950825, 1
415, 200, -586.7432072451479, 1
420, 200, -517.2303114201603, 1
425, 200, -256.025534673475, 1
430, 200, -651.4946676528939, 1
435, 200, -953.249892765684, 1
440, 200, -1122.149854181806, 1
445, 200, -1306.597519160215, 1
450, 200, -1303.349851473857, 1
455, 200, -1295.744978358929, 1
460, 200, -1315.751844493578, 1
465, 200, -1322.6352957232207, 1
470, 200, -1323.1929927885367, 1
475, 200, -1317.3571560564249, 1
480, 200, -1328.5544945415463, 1
485, 200, -1335.8076773312182, 1
490, 200, -1338.8731759779746, 1
495, 200, -1320.0679187010255, 1
500, 200, -1327.1139057456649, 1
505, 200, -1341.7775690690796, 1
510, 200, -1323.7466207699324, 1
515, 200, -1345.2395927000903, 1
520, 200, -1341.7703864941907, 1
525, 200, -1344.2421531878222, 1
530, 200, -1328.3721855190172, 1
535, 200, -1336.3498977224622, 1
540, 200, -1336.308322124498, 1
545, 200, -1329.1025748359134, 1
550, 200, -1353.6991969059911, 1
555, 200, -1346.158413023855, 1
560, 200, -1322.651879859267, 1
565, 200, -1330.9004561811469, 1
570, 200, -1255.0998539558254, 1
575, 200, -1246.478456051043, 1
580, 200, -1204.6941313039556, 1
585, 200, -1200.5592958658906, 1
590, 200, -1158.4771728585897, 1
595, 200, -1175.6295105975387, 1
600, 200, -1147.1996643962302, 1
605, 200, -1145.4259280095678, 1
610, 200, -1057.7333123672383, 1
615, 200, -1149.3469111655568, 1
620, 200, -1129.249298224162, 1
625, 200, -1118.243105288603, 1
630, 200, -1151.459209752908, 1
635, 200, -1051.9515423160062, 1
640, 200, -1177.3797002400306, 1
645, 200, -949.4840470419099, 1
650, 200, -947.6955140979106, 1
655, 200, -1099.5009792572716, 1
660, 200, -1063.2240486670341, 1
665, 200, -1040.4197441978345, 1
670, 200, -855.0949007839957, 1
675, 200, -888.9511438741507, 1
680, 200, -911.7559215131097, 1
685, 200, -905.7194886600839, 1
690, 200, -899.3698704107475, 1
695, 200, -953.8859967894009, 1
700, 200, -943.3917576393358, 1
705, 200, -947.2114808910442, 1
710, 200, -949.7859185659407, 1
715, 200, -945.4110692029166, 1
720, 200, -894.3410583765477, 1
725, 200, -943.7412711424463, 1
730, 200, -946.8310189661055, 1
735, 200, -944.2389637883637, 1
740, 200, -934.4282638287865, 1
745, 200, -879.2220281774515, 1
750, 200, -965.7943342890945, 1
755, 200, -947.8678399762216, 1
760, 200, -1054.938188186086, 1
765, 200, -1036.3090318534241, 1
770, 200, -997.092289960642, 1
775, 200, -1023.6089611452617, 1
780, 200, -1042.3766179476006, 1
785, 200, -994.395884007035, 1
790, 200, -1124.197461764904, 1
795, 200, -1020.5426413841595, 1
800, 200, -979.4512313597858, 1
805, 200, -1001.6807951756516, 1
810, 200, -1046.2128440232532, 1
815, 200, -1089.5119922931415, 1
820, 200, -1021.3125762248395, 1
825, 200, -1006.6690730047236, 1
830, 200, -1092.4977408525788, 1
835, 200, -1125.971113923561, 1
840, 200, -1108.743667061397, 1
845, 200, -1183.2084876383726, 1
850, 200, -1122.2618276014794, 1
855, 200, -1170.6899397216014, 1
860, 200, -1138.756902293292, 1
865, 200, -1172.492382051382, 1
870, 200, -1181.02306619428, 1
875, 200, -1240.7120672017209, 1
880, 200, -1227.604830298158, 1
885, 200, -1234.3266496582444, 1
890, 200, -1239.8188125396039, 1
895, 200, -1187.7509671585535, 1
900, 200, -1202.681384100283, 1
905, 200, -1235.7648276902194, 1
910, 200, -1218.5951052742494, 1
915, 200, -1211.2680566625909, 1
920, 200, -1211.4232892909044, 1
925, 200, -1244.344814170139, 1
930, 200, -1195.9127626132736, 1
935, 200, -1191.642085703647, 1
940, 200, -1237.1435587152334, 1
945, 200, -1245.8330149378817, 1
950, 200, -1230.7991587214683, 1
955, 200, -1236.6310405904344, 1
960, 200, -1212.6035078543314, 1
965, 200, -1222.0191573818292, 1
970, 200, -1250.4501389863958, 1
975, 200, -1198.7712530435033, 1
980, 200, -1220.5785900593603, 1
985, 200, -1208.1077082402296, 1
990, 200, -1213.946583572517, 1
995, 200, -1209.5776764915736, 1
1000, 200, -1254.501216482404, 1
