episode number, steps in evaluation, accumulated reward, done 
0, 200, -0.8316343928946204, 1
5, 200, -13.341563016267967, 1
10, 200, -414.43977340119335, 1
15, 200, -1593.0189284608373, 1
20, 200, -1635.8233070069507, 1
25, 200, -25.532166302786695, 1
30, 200, -1676.7026179531806, 1
35, 200, -289.768496082301, 1
40, 200, -1524.1976743458595, 1
45, 200, -106.22798031394336, 1
50, 200, -1477.9010904654665, 1
55, 200, -21.815606964330165, 1
60, 200, -1330.0391093781718, 1
65, 200, -1631.7317120004682, 1
70, 200, -1416.6488700855612, 1
75, 200, -2.7116165763337157, 1
80, 200, -1412.2614508177553, 1
85, 200, -5.917782164657105, 1
90, 200, -976.9027576797831, 1
95, 200, -2.8410084722923745, 1
100, 200, -879.5026574514618, 1
105, 200, -102.46078254632525, 1
110, 200, -1158.0900620540729, 1
115, 200, -26.98109142160311, 1
120, 200, -1323.2113990990326, 1
125, 200, -1402.1274166602389, 1
130, 200, -15.838882257016344, 1
135, 200, -1145.564841258512, 1
140, 200, -955.2413784698336, 1
145, 200, -131.986475234325, 1
150, 200, -1088.2635347779026, 1
155, 200, -323.13409580199414, 1
160, 200, -1649.1934469036703, 1
165, 200, -1.1322114240092538, 1
170, 200, -388.83621433708515, 1
175, 200, -0.5992582283895582, 1
180, 200, -1545.402093369803, 1
185, 200, -1628.9128858973681, 1
190, 200, -1543.2508849608485, 1
195, 200, -57.48639309104441, 1
200, 200, -1647.7654165385447, 1
205, 200, -1581.2790727291917, 1
210, 200, -34.99143551078897, 1
215, 200, -22.190699052705764, 1
220, 200, -16.248576602377575, 1
225, 200, -3.4117159624903493, 1
230, 200, -1604.0315934673786, 1
235, 200, -13.715493387776693, 1
240, 200, -12.981744415312995, 1
245, 200, -10.53045167494042, 1
250, 200, -11.613623136925552, 1
255, 200, -11.316671016618578, 1
260, 200, -976.6698557062828, 1
265, 200, -8.826244189841098, 1
270, 200, -7.412851688193521, 1
275, 200, -8.860478049370556, 1
280, 200, -1069.2843435547036, 1
285, 200, -9.495240424574277, 1
290, 200, -8.203080593799763, 1
295, 200, -6.775461039958145, 1
300, 200, -5.410481345155911, 1
305, 200, -6.970065422758303, 1
310, 200, -6.639221702927497, 1
315, 200, -702.1040852913155, 1
320, 200, -6.275081187669334, 1
325, 200, -7.725149386430413, 1
330, 200, -5.8120794792921275, 1
335, 200, -9.4782708204655, 1
340, 200, -10.096986275943264, 1
345, 200, -731.1153382989515, 1
350, 200, -12.118179884612024, 1
355, 200, -85.0790499282044, 1
360, 200, -14.680817117687203, 1
365, 200, -18.246721634427097, 1
370, 200, -163.40336324379422, 1
375, 200, -18.783086977693948, 1
380, 200, -18.376166711532157, 1
385, 200, -20.43787045719959, 1
390, 200, -19.72014166018771, 1
395, 200, -10.981063193481042, 1
400, 200, -19.22633531497806, 1
405, 200, -180.598990867678, 1
410, 200, -20.951460000395578, 1
415, 200, -20.045320644791964, 1
420, 200, -22.81292598118136, 1
