episode number, steps in evaluation, accumulated reward, done 
0, 200, -502.945413401478, 1
5, 200, -1038.7433580654363, 1
10, 200, -1288.0424232418995, 1
15, 200, -1490.9146222094655, 1
20, 200, -1588.6239545316946, 1
25, 200, -1501.6455921562228, 1
30, 200, -1536.4196335717852, 1
35, 200, -1476.1899744518626, 1
40, 200, -1061.9136075133392, 1
45, 200, -975.6410445509512, 1
50, 200, -949.0774733797006, 1
55, 200, -932.2102801706789, 1
60, 200, -921.6115937850419, 1
65, 200, -794.7364642194962, 1
70, 200, -905.8539162539169, 1
75, 200, -6.634129128332067, 1
80, 200, -732.38981724614, 1
85, 200, -808.4560335482297, 1
90, 200, -709.6230518760055, 1
95, 200, -853.0899495925112, 1
100, 200, -742.8446082280764, 1
105, 200, -829.464475929967, 1
110, 200, -657.3369254760389, 1
115, 200, -791.808122181824, 1
120, 200, -636.9888468994285, 1
125, 200, -251.97608737828332, 1
130, 200, -0.7670545542456917, 1
135, 200, -0.0836524410718524, 1
140, 200, -26762.21950929277, 1
145, 200, -7653.416506330219, 1
150, 200, -5906.757450611027, 1
155, 200, -1928.2397888524595, 1
160, 200, -8963.363605453771, 1
165, 200, -0.0035725129960169667, 1
170, 200, -0.04316381273283486, 1
175, 200, -0.23712307697456345, 1
180, 200, -0.15765378301118071, 1
185, 200, -0.160957398851652, 1
190, 200, -0.008996377503428266, 1
195, 200, -0.6113949096597575, 1
200, 200, -0.49552017772709145, 1
205, 200, -2403.670900165568, 1
210, 200, -1153.0686350464953, 1
215, 200, -1.6335212761090385, 1
220, 200, -2.2558699624954603, 1
225, 200, -2.409334652220748, 1
230, 200, -1.907058683069669, 1
235, 200, -2.591400449095344, 1
240, 200, -2.94937360008109, 1
245, 200, -3.9106313376984247, 1
250, 200, -2.317666587800159, 1
255, 200, -2.0312539977928745, 1
260, 200, -2.6285150630598046, 1
265, 200, -2176.1695290804378, 1
270, 200, -8331.142487554376, 1
275, 200, -6313.646140000828, 1
280, 200, -5809.783606948107, 1
285, 200, -4838.230482484976, 1
290, 200, -6488.689324196008, 1
295, 200, -5988.103214374716, 1
300, 200, -5800.454066227401, 1
305, 200, -4206.037013254902, 1
310, 200, -5908.045251345891, 1
315, 200, -3320.3474818192944, 1
320, 200, -7388.737006469056, 1
325, 200, -4864.001472433499, 1
330, 200, -4528.6990322008305, 1
335, 200, -4522.210979907279, 1
340, 200, -5706.107982593841, 1
345, 200, -3981.723081301367, 1
350, 200, -3909.800640447966, 1
355, 200, -2556.588464606688, 1
360, 200, -664.3644238317439, 1
365, 200, -4.680715516054162, 1
370, 200, -7.584650034806542, 1
375, 200, -6.152100716035495, 1
380, 200, -7.975906151337337, 1
385, 200, -4555.900645663374, 1
390, 200, -3787.7493906538716, 1
395, 200, -2739.7619764858746, 1
400, 200, -3223.5670343814027, 1
405, 200, -4878.290582897955, 1
410, 200, -1115.0994388434867, 1
415, 200, -8.913852708033778, 1
420, 200, -10.1424737197545, 1
425, 200, -11.965968010464376, 1
430, 200, -3.5704306294809576, 1
435, 200, -1.4742531766444322, 1
440, 200, -1.5501590474862081, 1
445, 200, -3.2511228515749377, 1
450, 200, -3.4636328038335247, 1
455, 200, -5.07789565210681, 1
460, 200, -1.9129184742960845, 1
465, 200, -1.103408184048202, 1
470, 200, -3.538695917608216, 1
475, 200, -5.597590758778315, 1
480, 200, -8.431810514537688, 1
485, 200, -1.3290940613680309, 1
490, 200, -0.21173706597339725, 1
495, 200, -10.287767153667858, 1
500, 200, -5.940316170908676, 1
505, 200, -4.308828225926549, 1
510, 200, -1.530449233895, 1
515, 200, -2.0042476949431816, 1
520, 200, -13.07534857708092, 1
525, 200, -0.44792197576797727, 1
530, 200, -6.53983515355604, 1
535, 200, -1.5188781254616008, 1
540, 200, -3627.740632982846, 1
