episode number, steps in evaluation, accumulated reward, done 
0, 200, -463.383553452791, 1
1, 200, -878.3895126095152, 1
2, 200, -962.8616363715813, 1
3, 200, -1294.2346753347056, 1
4, 200, -1266.5033169751355, 1
5, 200, -1082.3689451375756, 1
6, 200, -949.0414789678064, 1
7, 200, -1276.9617875622746, 1
8, 200, -1425.3774265429322, 1
9, 200, -1491.1837148438826, 1
10, 200, -1599.5101806903135, 1
11, 200, -1597.0617486506253, 1
12, 200, -1615.953183319394, 1
13, 200, -1616.1714117403462, 1
14, 200, -1470.3541024574295, 1
15, 200, -1594.5315794149049, 1
16, 200, -1358.7760757401832, 1
17, 200, -1335.471647464963, 1
18, 200, -1197.347066856713, 1
19, 200, -1277.000616142868, 1
20, 200, -1324.7595393772287, 1
21, 200, -1333.8278733780312, 1
22, 200, -1330.2459114817777, 1
23, 200, -1345.3932155198454, 1
24, 200, -1333.5994052214594, 1
25, 200, -1339.3123514804406, 1
26, 200, -1313.967687827351, 1
27, 200, -1355.4208009099173, 1
28, 200, -1345.9536172881217, 1
29, 200, -1323.309731673384, 1
30, 200, -1319.7724162142047, 1
31, 200, -1339.0136948192335, 1
32, 200, -1348.3494546123272, 1
33, 200, -1352.05534167732, 1
34, 200, -1339.2710148904564, 1
35, 200, -1299.792178371563, 1
36, 200, -1337.3703920150867, 1
37, 200, -1352.7622855617772, 1
38, 200, -1310.6761041313416, 1
39, 200, -1306.9886090797033, 1
40, 200, -1276.1361954364818, 1
41, 200, -1254.9504955821858, 1
42, 200, -1241.8755277352602, 1
43, 200, -1221.982123514963, 1
44, 200, -1210.4041615462065, 1
45, 200, -1232.736787767166, 1
46, 200, -1113.176307514561, 1
47, 200, -19.238618373513916, 1
48, 200, -14.908104571595665, 1
49, 200, -11.939696336150426, 1
50, 200, -10.226834652375636, 1
51, 200, -8.62189257840218, 1
52, 200, -7.6422817234749, 1
53, 200, -7.671189457165316, 1
54, 200, -7.101470639906745, 1
55, 200, -7.624376629910773, 1
56, 200, -10.701868705754574, 1
57, 200, -6.798669997178906, 1
58, 200, -8.098330956267949, 1
59, 200, -7.968343427212557, 1
60, 200, -9.23964336492146, 1
61, 200, -7.597999648975535, 1
62, 200, -6.787243340649126, 1
63, 200, -5.049163162938812, 1
64, 200, -6.202681035786611, 1
65, 200, -6.442955827307792, 1
66, 200, -6.577808428414487, 1
67, 200, -6.023347299955519, 1
68, 200, -4.974498397352014, 1
69, 200, -3.8721815408058817, 1
70, 200, -6.5249995690657006, 1
71, 200, -268.2281675094444, 1
72, 200, -128.5704349468499, 1
73, 200, -265.2848702150459, 1
74, 200, -265.38277773099423, 1
75, 200, -276.2416272271892, 1
76, 200, -325.6196974952579, 1
77, 200, -264.5637936162411, 1
78, 200, -262.8696936153702, 1
79, 200, -260.11671194799175, 1
80, 200, -262.0106081940469, 1
81, 200, -262.7392396357571, 1
82, 200, -143.0782522750925, 1
83, 200, -165.2332561205061, 1
84, 200, -137.02968943049592, 1
85, 200, -138.3465979599241, 1
86, 200, -259.1978455937852, 1
87, 200, -137.71888114639668, 1
88, 200, -138.41963411770007, 1
89, 200, -15.510058104273105, 1
90, 200, -139.39733511098862, 1
91, 200, -15.15266225264637, 1
92, 200, -96.19823871811947, 1
93, 200, -13.117248074166351, 1
94, 200, -10.70234412348, 1
95, 200, -10.82914798903692, 1
96, 200, -8.735773374279821, 1
97, 200, -10.848058087332191, 1
98, 200, -10.903335853473372, 1
99, 200, -10.354018887739228, 1
100, 200, -8.14886233120689, 1
101, 200, -8.56121926698074, 1
102, 200, -9.118043475512303, 1
103, 200, -9.531020344384231, 1
104, 200, -9.43745165099257, 1
105, 200, -9.837397092786782, 1
106, 200, -10.392917678493303, 1
107, 200, -10.684841214470971, 1
108, 200, -9.7454400498254, 1
109, 200, -9.714171856396659, 1
110, 200, -9.081116542829683, 1
111, 200, -8.898693616807947, 1
112, 200, -9.5606407798928, 1
113, 200, -9.624214167694323, 1
114, 200, -9.775828520097267, 1
115, 200, -8.33487672503767, 1
116, 200, -9.179187898956874, 1
117, 200, -8.56520492686669, 1
118, 200, -8.560640477947258, 1
119, 200, -8.288110929549365, 1
120, 200, -8.474947242791272, 1
121, 200, -8.268611997712576, 1
122, 200, -8.517832138614438, 1
123, 200, -9.286977844249495, 1
124, 200, -9.151592346201232, 1
125, 200, -7.95730475987127, 1
126, 200, -8.984539303690637, 1
127, 200, -8.851383439303667, 1
128, 200, -9.326760280966827, 1
129, 200, -8.609676950549014, 1
130, 200, -8.24689431586735, 1
131, 200, -8.810941218656906, 1
132, 200, -8.6126205341434, 1
133, 200, -8.897061378480066, 1
134, 200, -8.687091648083628, 1
135, 200, -8.582745383614286, 1
136, 200, -9.079688235747279, 1
137, 200, -7.7103946345038885, 1
138, 200, -8.84412715156237, 1
139, 200, -8.300719939307788, 1
140, 200, -8.026341314860332, 1
141, 200, -8.132610528333643, 1
142, 200, -8.51873155924458, 1
143, 200, -8.282761301945213, 1
144, 200, -8.805989239200272, 1
145, 200, -8.909348026511587, 1
